# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.86 0 0.065 0.0134 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.86
# Baryon distribution: Exponential model, fb=0.065 rb=0.0134
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.000e-04 4.678e-05 3.073e-07 1.401e-06 4.887e+04 2.225e+05 1.002 1.006 1.789e-01 1.365e+00
1.122e-04 5.249e-05 3.868e-07 1.763e-06 4.355e+04 1.982e+05 1.002 1.007 1.895e-01 1.365e+00
1.259e-04 5.890e-05 4.868e-07 2.218e-06 3.880e+04 1.765e+05 1.003 1.007 2.007e-01 1.366e+00
1.413e-04 6.609e-05 6.128e-07 2.791e-06 3.457e+04 1.572e+05 1.003 1.008 2.125e-01 1.367e+00
1.585e-04 7.416e-05 7.713e-07 3.511e-06 3.080e+04 1.399e+05 1.003 1.009 2.250e-01 1.367e+00
1.778e-04 8.321e-05 9.707e-07 4.417e-06 2.744e+04 1.246e+05 1.003 1.011 2.382e-01 1.368e+00
1.995e-04 9.337e-05 1.222e-06 5.556e-06 2.445e+04 1.109e+05 1.004 1.012 2.522e-01 1.369e+00
2.239e-04 1.048e-04 1.538e-06 6.988e-06 2.178e+04 9.868e+04 1.004 1.013 2.670e-01 1.370e+00
2.512e-04 1.176e-04 1.935e-06 8.787e-06 1.940e+04 8.781e+04 1.005 1.015 2.826e-01 1.371e+00
2.818e-04 1.319e-04 2.435e-06 1.105e-05 1.728e+04 7.812e+04 1.006 1.017 2.992e-01 1.372e+00
3.162e-04 1.480e-04 3.064e-06 1.389e-05 1.539e+04 6.948e+04 1.006 1.019 3.167e-01 1.373e+00
3.548e-04 1.661e-04 3.856e-06 1.746e-05 1.371e+04 6.178e+04 1.007 1.021 3.351e-01 1.374e+00
3.981e-04 1.864e-04 4.851e-06 2.195e-05 1.220e+04 5.492e+04 1.008 1.024 3.546e-01 1.371e+00
4.467e-04 2.092e-04 6.103e-06 2.758e-05 1.087e+04 4.881e+04 1.009 1.026 3.752e-01 1.364e+00
5.012e-04 2.347e-04 7.678e-06 3.464e-05 9.675e+03 4.336e+04 1.010 1.030 3.970e-01 1.364e+00
5.623e-04 2.634e-04 9.658e-06 4.351e-05 8.612e+03 3.851e+04 1.011 1.033 4.199e-01 1.363e+00
6.310e-04 2.956e-04 1.215e-05 5.462e-05 7.665e+03 3.418e+04 1.012 1.037 4.441e-01 1.363e+00
7.079e-04 3.317e-04 1.528e-05 6.856e-05 6.822e+03 3.033e+04 1.014 1.042 4.696e-01 1.363e+00
7.943e-04 3.723e-04 1.921e-05 8.602e-05 6.069e+03 2.689e+04 1.016 1.047 4.965e-01 1.360e+00
